rank,name,long_name,short_name,ticker,country,sector,industry,exchange_code,exchange_name,market,quote_type,listing_currency,hq_city,hq_state,hq_country,website,employees,founded_year,first_trade_date,market_cap_04_08_2025,price_04_08_2025,market_cap_current,price_current,price_file_hourly,hourly_rows,hourly_start,hourly_end,price_file_daily,daily_rows,daily_start,daily_end,data_available
1,NVIDIA,NVIDIA Corporation,NVIDIA Corporation,NVDA,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Santa Clara,CA,United States,https://www.nvidia.com,42000.0,1993.0,1999-01-22,4236614041600,173.72,5453600260096.0,225.16,price/United_States/NVDA.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/NVDA.csv,6933,1999-01-22 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
2,Broadcom,Broadcom Inc.,Broadcom Inc.,AVGO,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Palo Alto,CA,United States,https://www.broadcom.com,33000.0,1961.0,2009-08-06,1357609697280,288.64,1869681393664.0,392.99,price/United_States/AVGO.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/AVGO.csv,4282,2009-08-06 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
3,TSMC,Taiwan Semiconductor Manufacturing Company Limited,Taiwan Semiconductor Manufactur,TSM,Taiwan,Technology,Semiconductors,NYQ,NYSE,us_market,EQUITY,USD,Hsinchu City,,Taiwan,https://www.tsmc.com,76907.0,1987.0,1997-10-09,1219921444864,235.21,2211253321728.0,426.35,price/Taiwan/TSM.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Taiwan/TSM.csv,7256,1997-10-09 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
4,Samsung,"Samsung Electronics Co., Ltd.",SamsungElec,005930.KS,South Korea,Technology,Consumer Electronics,KSC,KSE,kr_market,EQUITY,KRW,Suwon-si,,South Korea,https://www.samsung.com,,1969.0,2000-01-04,326234945517,49.5673,1802521672679424.0,274500.0,price/South_Korea/005930.KS.csv,4367,2023-08-14 09:00:00+09:00,2026-08-14 14:00:00+09:00,price_daily/South_Korea/005930.KS.csv,6654,2000-01-04 00:00:00+09:00,2026-08-14 00:00:00+09:00,True
5,AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",AMD,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Santa Clara,CA,United States,https://www.amd.com,31000.0,1969.0,1980-03-17,278314942464,171.651,839728824320.0,514.39,price/United_States/AMD.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/AMD.csv,11698,1980-03-17 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
6,ASML,ASML Holding N.V.,ASML Holding N.V. - New York Re,ASML,Netherlands,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Veldhoven,,Netherlands,https://www.asml.com,43938.0,1984.0,1995-03-15,271237234688,689.82,708311121920.0,1844.08,price/Netherlands/ASML.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/Netherlands/ASML.csv,7907,1995-03-15 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
7,Texas Instruments,Texas Instruments Incorporated,Texas Instruments Incorporated,TXN,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Dallas,TX,United States,https://www.ti.com,33000.0,1930.0,1972-06-01,164426530816,180.86,255325782016.0,279.58,price/United_States/TXN.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/TXN.csv,13664,1972-06-01 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
8,QUALCOMM,QUALCOMM Incorporated,QUALCOMM Incorporated,QCOM,United States,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,San Diego,CA,United States,https://www.qualcomm.com,52000.0,1985.0,1991-12-13,159897026560,148.19,174079492096.0,165.79,price/United_States/QCOM.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/QCOM.csv,8728,1991-12-13 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
9,Arm Holdings,Arm Holdings plc,Arm Holdings plc,ARM,United Kingdom,Technology,Semiconductors,NMS,NasdaqGS,us_market,EQUITY,USD,Cambridge,,United Kingdom,https://www.arm.com,9584.0,1990.0,2023-09-14,145732993024,137.58,298441539584.0,279.44,price/United_Kingdom/ARM.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_Kingdom/ARM.csv,732,2023-09-14 00:00:00-04:00,2026-08-14 00:00:00-04:00,True
10,Applied Materials,"Applied Materials, Inc.","Applied Materials, Inc.",AMAT,United States,Technology,Semiconductor Equipment & Materials,NMS,NasdaqGS,us_market,EQUITY,USD,Santa Clara,CA,United States,https://www.appliedmaterials.com,38900.0,1967.0,1980-03-17,144441622528,179.99,402680348672.0,507.18,price/United_States/AMAT.csv,5082,2023-09-18 09:30:00-04:00,2026-08-14 15:30:00-04:00,price_daily/United_States/AMAT.csv,11698,1980-03-17 00:00:00-05:00,2026-08-14 00:00:00-04:00,True
